RECORD,CAMIS,DBA,BUILDING,STREET,ZIPCODE,BORO,PHONE,CUISINE_DESCRIPTION,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BIN,BBL,NTA
2803,50105023,GELATERIA GENTILE,43,8 AVENUE,10014,Manhattan,9172617418,Frozen Desserts,40.73835577,-74.00391527,102,3,7700,1011660,1006260044,MN23
2805,40362432,HO MEI,103-05,37 AVENUE,11368,Queens,7187796903,Chinese,40.75330591,-73.86429538,403,21,37900,4043399,4017450030,QN26
2810,50107027,HAPPY & SMILE OF NY,41-10,149 PLACE,11355,Queens,3477014021,Korean,40.76203893,-73.81465308,407,20,116700,4447126,4050540032,QN51
2812,50058621,FILLMORE'S TAVERN,166-02,65 AVENUE,11365,Queens,7187622727,American,40.73667926,-73.80267525,408,24,122300,4149166,4069070033,QN38
2813,40424488,RENATO'S PASTRY SHOP,1646,FOREST AVENUE,10302,Staten Island,7184426838,Bakery Products/Desserts,40.62489577,-74.14349747,501,50,25100,5028778,5014380006,SI28
2815,50048540,LA COLOMBE,154,PRINCE STREET,10012,Manhattan,6466907334,Coffee/Tea,40.72589186,-74.00117256,102,1,4900,1007733,1005020023,MN24
2817,50121502,XING SHENG,115,FEATHERBED LANE,10452,Bronx,7182992336,Chinese,40.84615465,-73.91880219,205,14,21502,2008815,2028760051,BX36
2822,41065858,LURE FISHBAR,142,MERCER STREET,10012,Manhattan,2124317676,Seafood,40.72482963,-73.99840174,102,1,4900,1080019,1005120023,MN24
2823,50065875,COLD STONE CREAMERY,3165,HARKNESS AVENUE,11235,Brooklyn,7188911114,Frozen Desserts,40.58653689,-73.92939435,315,46,62800,3248659,3088410500,BK17
2824,50011004,BRAVO AFRICAN RESTAURANT,1473,WESTCHESTER AVENUE,10472,Bronx,9292631433,African,40.82840755,-73.88136693,209,17,5400,2024999,2037700030,BX08
2826,41450604,BAGELS & CO,188-02,UNION TURNPIKE,11366,Queens,7182177755,Jewish/Kosher,40.72923728,-73.78100573,408,23,127700,4156312,4072660001,QN06
2828,50039387,NUR THAI,63-32,WOODHAVEN BOULEVARD,11374,Queens,7182556141,Thai,40.72361803,-73.86859516,405,30,67900,4069613,4029990019,QN21
2832,50129775,SUSHI LIN,120,SULLIVAN STREET,10012,Manhattan,9174090380,Japanese,40.72615258,-74.00264097,102,3,4900,1007808,1005040026,MN24
2834,41708320,CATSKILL BAGEL CO.,1416,CORTELYOU ROAD,11226,Brooklyn,7182825049,Bagels/Pretzels,40.64091381,-73.96506646,314,40,52000,3118678,3051570008,BK42
2836,50096039,SQUARREL CAFE,572,ATLANTIC AVENUE,11217,Brooklyn,9295250425,Coffee/Tea,40.6846278,-73.97895758,302,33,3900,3001016,3001860035,BK38
2837,41501822,BLUE HAVEN,108,WEST HOUSTON STREET,10012,Manhattan,2125053400,American,40.72734384,-74.00073963,102,3,6500,1008252,1005250025,MN23
2839,50067501,HOM,8810,3 AVENUE,11209,Brooklyn,7182384466,American,40.6218934,-74.03171036,310,47,6000,3154018,3060610039,BK31
2840,50032652,LAS DELICIAS RESTAURANT & BAKERY,18-01,COLLEGE POINT BOULEVARD,11356,Queens,7184604911,Spanish,40.78298368,-73.84585479,407,19,92500,4443901,4041280019,QN23
2841,50073387,YUMMY CITY,1557,LEXINGTON AVENUE,10029,Manhattan,2124276808,Chinese,40.78807417,-73.9493053,111,5,16600,1051755,1016270020,MN33
2842,41182565,DUNKIN,2341,RICHMOND AVENUE,10314,Staten Island,7183700082,Donuts,40.59128157,-74.16498518,502,51,27706,5107370,5023800040,SI24
2843,50127881,MIMOZA CAFE,30-05,45 STREET,11103,Queens,3476759216,Coffee/Tea,40.76184401,-73.91110815,401,22,15100,4447663,4007140081,QN70
2844,40563475,MAMOUN FALAFEL,119,MACDOUGAL STREET,10012,Manhattan,2126748685,Middle Eastern,40.73020663,-74.00031751,102,1,6500,1008746,1005430021,MN23
2851,50142324,COLOMBA COFFEE + BAKERY,1031,LEXINGTON AVENUE,10021,Manhattan,6469644492,Coffee/Tea,40.77163227,-73.96130423,108,4,12800,1043057,1014080053,MN40
2852,41707087,TRIONA'S,192,3 AVENUE,10003,Manhattan,6464484671,Irish,40.73538785,-73.9856639,106,2,5000,1017855,1008730035,MN21
2857,50085357,MEMO SHISH KEBAB,100,WEST   23 STREET,10011,Manhattan,2123812115,Turkish,40.74307389,-73.99323711,104,3,9100,1014803,1007980049,MN13
2860,41482939,EL NUEVO SABOR,4032,10 AVENUE,10034,Manhattan,2125671515,Latin American,40.86940276,-73.91532072,112,10,30300,1064887,1022320009,MN01
2862,50046744,MCDONALD'S,1380,BROADWAY,11221,Brooklyn,7185738797,Hamburgers,40.68924436,-73.92164793,303,41,37500,3039636,3014800038,BK35
2863,41701184,LITTLE CAESARS,1054,SOUTHERN BOULEVARD,10459,Bronx,9177927490,Pizza,40.8243365,-73.89188871,202,17,11900,2006021,2027430019,BX27
2864,50018857,GYRO WORLD,66-57,FRESH POND ROAD,11385,Queens,7183664976,Greek,40.70724183,-73.89729486,405,30,61301,4087711,4036140001,QN20
2867,50107225,KESTANE KEBAB,208,FRANKLIN STREET,11222,Brooklyn,3475815474,Mediterranean,40.73260612,-73.95802906,301,33,56300,3336922,3025320008,BK76
2869,50095624,AVENUE CAFE,35-27,30 AVENUE,11103,Queens,7184339298,Greek,40.76526905,-73.91791565,401,22,6502,4009223,4006290041,QN70
2871,50032708,STARBUCKS,JFK,INTL AIRPORT,11430,Queens,7186790452,Coffee/Tea,,,,,,,,
2876,50106832,RAINBOW BAKERY,41-39,KISSENA BOULEVARD,11355,Queens,9179080138,Bakery Products/Desserts,40.75794336,-73.82853267,407,20,85300,4309526,4050447501,QN22
2878,41271988,ECUADORIAN FOOD RESTAURANT,41-20,34 AVENUE,11101,Queens,7187292889,Latin American,40.75617702,-73.91983272,401,22,15900,4010928,4006740018,QN70
2879,41541587,SEATTLE COFFEE ROASTERS,PIER 79,W 38TH ST,10018,Manhattan,9175363918,American,40.75191947,-73.98499622,105,4,8400,,1,MN17
2882,40577007,ACME,9,GREAT JONES STREET,10012,Manhattan,2122032121,French,40.7274123,-73.99392061,102,2,5502,1008475,1005300012,MN23
2886,50124063,KILOGRAM COFFEE,221,WEST   29 STREET,10001,Manhattan,6463212743,Coffee/Tea,40.74820662,-73.99373464,105,3,9500,1090618,1007790027,MN17
2888,50064456,JOHN'S OF 12TH STREET,302,EAST   12 STREET,10003,Manhattan,2124759531,Italian,40.73083976,-73.98552416,103,2,4000,1006477,1004530010,MN22
2892,41238204,LINCOLN TOWERS CAFE,234,EAST  149 STREET,10451,Bronx,7182928146,American,40.81773378,-73.92415514,201,17,6500,2097050,2023350016,BX34
2893,41271359,DOMINICK'S PIZZERIA,4901,8 AVENUE,11220,Brooklyn,7184381700,Pizza,40.64158058,-74.00320332,312,38,10800,3137523,3056370006,BK34
2895,50074365,YURA,1350,MADISON AVENUE,10128,Manhattan,2128609872,American,40.78640764,-73.95477025,108,5,16001,1047403,1015060018,MN40
2898,50102945,BLUESTONE LANE,30,HUDSON YARDS,10001,Manhattan,9176530633,Coffee/Tea,40.75371004,-73.99977983,104,3,9900,1088961,1007027501,MN13
2900,50016457,ACADEMY CAFE,30-29,COLLEGE POINT BOULEVARD,11354,Queens,9173853856,American,40.77058178,-73.84303147,407,19,90700,4541694,4043270001,QN23
2905,50093783,EL VALLE LENOX,588,LENOX AVENUE,10037,Manhattan,6463441475,Spanish,40.81698493,-73.93873735,110,9,21400,1053937,1017370011,MN03
2906,40385680,EASTWOOD MANOR,3371,EASTCHESTER ROAD,10469,Bronx,7186544200,American,40.87646993,-73.84606753,212,12,35800,2061045,2047430008,BX03
2908,50100856,BAR CAMILLO,333,TOMPKINS AVENUE,11216,Brooklyn,3475336340,Italian,40.68650471,-73.94453311,303,36,26500,3051211,3018150006,BK75
2909,50091763,SWEETGREEN,125,CHAMBERS STREET,10007,Manhattan,6468912620,Salads,40.71530222,-74.00875489,101,1,2100,1001584,1001450012,MN24
2912,50069519,EL NUEVO TACO VELOZ,90-10,ROOSEVELT AVENUE,11372,Queens,7187551505,Mexican,40.74845266,-73.8759699,404,21,46900,4038784,4015510001,QN29
2914,50069920,LINE BAGELS,476,SMITH STREET,11231,Brooklyn,7184420001,Sandwiches,40.67483635,-73.99772879,306,39,7700,3008147,3004760032,BK33
2915,41633655,WOODSIDE CAFE RESTAURANT,64-23,BROADWAY,11377,Queens,3476423445,Asian/Asian Fusion,40.74954495,-73.89815333,402,26,29300,4027481,4012020001,QN63
2917,50130191,BREAKFAST BY SALT CURE,368,COURT STREET,11231,Brooklyn,9176351222,American,40.68162139,-73.99626474,306,39,6500,3004819,3003510026,BK33
2922,40365784,GARGIULO'S RESTAURANT,2911,WEST   15 STREET,11224,Brooklyn,7182664891,Italian,40.57655533,-73.98258432,313,47,34800,3339622,3070640045,BK21
2924,50060598,POKEWORKS (Entrance is on 41st street between Lexington & Park),122,EAST   42 STREET,10168,Manhattan,6466539793,Hawaiian,40.75159416,-73.97644956,105,4,8000,1036152,1012960014,MN20
2925,50119605,BAGEL PUB,350,7 AVENUE,10001,Manhattan,2129014170,Bagels/Pretzels,40.74815715,-73.99269523,105,3,9500,1014290,1007790039,MN17
2926,41028791,STARBUCKS,300,WEST   23 STREET,10011,Manhattan,6466381571,Coffee/Tea,40.74545928,-73.99891732,104,3,9300,1013429,1007467503,MN13
2928,50107862,NEW ASIAN NY,41-24,162 STREET,11358,Queens,7184632567,Chinese,40.76103569,-73.80390233,407,20,117100,4120432,4053340025,QN51
2931,50132816,NERO.LAB CAFE,725,5 AVENUE,10022,Manhattan,9292396974,Italian,40.76250136,-73.97428699,105,4,11202,1035794,1012927501,MN17
2934,50106788,THE HUMMUS & PITA CO.,215,EAST   86 STREET,10028,Manhattan,9177480748,Mediterranean,40.77855983,-73.95336381,108,5,14602,1048790,1015320009,MN32
2939,50126848,WHITEPOINT DINER,132-09,14 AVENUE,11356,Queens,7187915831,American,40.78626917,-73.83596703,407,19,94500,4308413,4040120045,QN49
2942,50109257,NEW PIZZA PLACE,205-27,HOLLIS AVENUE,11412,Queens,9172136272,Pizza,40.7071404,-73.75199649,412,27,51000,4233503,4109120035,QN07
2946,50002268,DUNKIN,188-23,UNION TURNPIKE,11366,Queens,3475484154,Donuts,40.7292892,-73.78088288,408,23,133300,4155063,4072050033,QN41
2947,41241023,234 CHINA CITY,234,KINGS HIGHWAY,11223,Brooklyn,7187144272,Chinese,40.60538379,-73.98224905,311,43,42800,3176591,3066470017,BK29
2948,50134092,BRICK WINE BAR,21,CLINTON STREET,10002,Manhattan,6466331624,Tapas,40.72067572,-73.9842529,103,2,3001,1088336,1003500026,MN27
2950,50157825,SIP AND SAVOR,1382,NOSTRAND AVENUE,11226,Brooklyn,9294347151,American,40.6530291,-73.94982276,317,40,82000,3116689,3050850068,BK60
2951,50129719,China Wok,1486,WILLIAMSBRIDGE ROAD,10461,Bronx,9172939233,Chinese,40.84414771,-73.84590046,210,18,20000,2103489,2040810002,BX37
2953,50064520,IZZY'S BBQ SMOKEHOUSE,397,TROY AVENUE,11213,Brooklyn,3474250524,Barbecue,40.66483083,-73.93704292,309,35,35500,3038216,3014180003,BK63
2954,50146885,THE BROTHERS BAGELS,7105,FORT HAMILTON PARKWAY,11228,Brooklyn,3478539898,Bagels/Pretzels,40.62763083,-74.01368963,310,38,20600,3147030,3059020008,BK30
2955,50014878,"DUNKIN',' BASKIN ROBBINS",321,EAST KINGSBRIDGE ROAD,10458,Bronx,2039196337,Donuts,40.86226791,-73.89390921,207,15,39901,2016776,2032930005,BX05
2956,50146611,BOBA FRIES,61-05,39 AVENUE,11377,Queens,7184408064,Coffee/Tea,40.74714155,-73.90248063,402,26,26100,4027810,4012167502,QN63
2958,50065030,LAO MA MA LA TANG,136-20,ROOSEVELT AVENUE,11354,Queens,7186612668,Chinese,40.75977791,-73.82923543,407,20,85300,4113546,4050190005,QN22
2961,50143880,EMPANADAS RD,854,SOUTHERN BOULEVARD,10459,Bronx,9174719070,Latin American,40.81782578,-73.89463788,202,17,8900,2005845,2027320025,BX27
2964,50088248,NEW GREAT WALL,4425,5 AVENUE,11220,Brooklyn,7188714989,Chinese,40.64827493,-74.0070019,307,38,9600,3011239,3007390001,BK34
2965,50073142,NEW LONG RIVER,6104,5 AVENUE,11220,Brooklyn,7184922719,Chinese,40.63879892,-74.0168807,307,38,12200,3143734,3057910038,BK32
2966,41139432,THE HAAB MEXICAN CAFE,47-22,48 AVENUE,11377,Queens,7187294838,Mexican,40.73915564,-73.91825468,402,26,23500,4053065,4022910027,QN31
2969,50146193,POKE BOWL,261,5 AVENUE,10016,Manhattan,3475825832,Hawaiian,40.74512368,-73.9869574,105,4,7400,1016921,1008580078,MN17
2971,41011463,EL GUAYAQUILENO,94-54,CORONA AVENUE,11373,Queens,7187604982,Latin American,40.74228621,-73.86948565,404,25,46100,4046361,4018770021,QN29
2973,50114726,MARINARA PIZZA,160,2 AVENUE,10003,Manhattan,6468377000,Pizza,40.72985454,-73.98673309,103,2,4000,1006433,1004520001,MN22
2975,41547604,FENG'S GARDEN,110-54,QUEENS BOULEVARD,11375,Queens,7182685536,Chinese,40.71931797,-73.83920965,406,29,76901,4078799,4032927501,QN17
2976,50107671,GOURMET BAKERY & DELI,96-15,METROPOLITAN AVENUE,11375,Queens,3473224771,Sandwiches/Salads/Mixed Buffet,40.71131216,-73.85627249,406,29,70700,4076008,4031920042,QN17
2978,50107169,YARD HOUSE #8389,575,7 AVENUE,10018,Manhattan,6464342448,American,40.75513664,-73.98759791,105,3,11300,1022569,1009930055,MN17
2979,50082220,NEW TIMES SQUARE PIZZA,236,WEST   40 STREET,10018,Manhattan,7187956916,Pizza,40.75522462,-73.9890489,105,3,11300,1014507,1007890060,MN17
2980,50082639,COUNTRY BAY PIZZA,3233,AMPERE AVENUE,10465,Bronx,9297779555,Pizza,40.84619824,-73.81964052,210,13,27402,2100082,2054160046,BX10
2983,50070066,MCDONALD'S,966,3 AVENUE,10022,Manhattan,2127535360,Hamburgers,40.76077584,-73.96715477,106,4,11203,1036913,1013120039,MN19
2987,50068646,SHIRAZI KARAHI HOUSE,184-02,HORACE HARDING EXPRESSWAY,11365,Queens,7188862940,Indian,40.73965676,-73.78998208,408,24,134100,4152813,4070730001,QN41
2990,41703394,PIONEERS BAR & LOUNGE,134,WEST   29 STREET,10001,Manhattan,2127142222,American,40.74711404,-73.99119038,105,3,9500,1015129,1008040059,MN17
2995,50140224,SWEET CAKE,137-06,NORTHERN BOULEVARD,11354,Queens,9293290666,Bakery Products/Desserts,40.76319219,-73.83094856,407,20,86900,4112344,4049770023,QN22
2996,50153850,EMPIRE SHOP,47-10,39 PLACE,11104,Queens,9294712513,Sandwiches/Salads/Mixed Buffet,40.74149648,-73.92567853,402,26,18900,4002777,4002000039,QN31
2997,50039842,DELUXE GREEN BO,66,BAYARD STREET,10013,Manhattan,9174638838,Chinese,40.71550565,-73.99813142,103,1,2900,1079427,1002010032,MN27
2998,41594948,MOE'S GOURMET FOOD & PIZZA,30-50,WHITESTONE EXPRESSWAY,11354,Queens,7183536100,American,40.77047536,-73.83563783,407,19,90700,4540190,4043630100,QN23
2999,50097123,GABI JUICE BAR,16,WEST BURNSIDE AVENUE,10453,Bronx,7186180730,"Juice, Smoothies, Fruit Salads",40.85380159,-73.90802423,205,14,24300,2008400,2028630030,BX36
3000,50089259,DUNKIN,398,AUDUBON AVENUE,10033,Manhattan,2125325003,Donuts,40.85101786,-73.93067768,112,10,26900,1063767,1021570017,MN35
3001,50123449,TIGER SUGAR,90-15,QUEENS BOULEVARD,11373,Queens,3478084778,Coffee/Tea,40.73384018,-73.87157703,404,25,68300,4045999,4018600100,QN29
3003,50077371,OVER GREENS,1505,SHEEPSHEAD BAY ROAD,11235,Brooklyn,3477027733,"Juice, Smoothies, Fruit Salads",40.58732344,-73.95396952,315,48,59000,3204955,3074600012,BK17
3004,50004065,RINCONCITO FAMILIAR MEXICAN CUISINE,4118,5 AVENUE,11232,Brooklyn,3479873681,Mexican,40.64998503,-74.00524705,307,38,8200,3010753,3007190048,BK32
3005,50044646,3 GREEKS GRILL,35-61,VERNON BOULEVARD,11106,Queens,7187298900,Greek,40.76277228,-73.94197132,401,22,3900,4003905,4003280001,QN68
3006,50078829,NEW SUCCESS CHINESE,142-09,FARMERS BOULEVARD,11434,Queens,7189783911,Chinese,40.67014131,-73.76531754,412,31,33000,4441543,4130490007,QN02
3008,41262792,POPEYES,601,WEST  172 STREET,10032,Manhattan,2127811570,Chicken,40.84357016,-73.93813449,112,10,25300,1063468,1021410048,MN36
3011,50071307,SAGAR CHINESE,74-19,37 AVENUE,11372,Queens,6465524710,Chinese,40.74899264,-73.89149173,403,25,28900,4029563,4012740035,QN28
3014,50017969,LIOLA,15-01,149 STREET,11357,Queens,7187671110,Italian,40.78705987,-73.8161757,407,19,103900,4105629,4046620001,QN49
3022,50110606,EL BUEN SABOR 2,198-01,JAMAICA AVENUE,11423,Queens,5167827937,Spanish,40.71343707,-73.76111362,412,23,48400,4222884,4104810040,QN07
3023,41679966,SUBWAY,3920,BROADWAY,10032,Manhattan,2127409180,Sandwiches,40.83852989,-73.94159418,112,7,24500,1062926,1021220069,MN36
3025,50117716,STIX KOSHER RESTAURANT,101-15,QUEENS BOULEVARD,11375,Queens,9178320452,Middle Eastern,40.72655375,-73.85185949,406,29,71303,4051261,4021350006,QN17
3028,50129947,LITTLE ITALY PIZZA,2,EAST   39 STREET,10016,Manhattan,9174760527,Pizza,40.75146342,-73.98204034,105,4,8200,1017244,1008680072,MN20
3031,50139458,Cinnabon & Carvel,205-03,HILLSIDE AVENUE,11423,Queens,6467259653,Frozen Desserts,40.72070878,-73.76017834,408,23,47800,4224410,4105330001,QN06
3033,41714688,MILLER'S ALE HOUSE,61-35,JUNCTION BOULEVARD,11374,Queens,7187601090,American,40.73342817,-73.86417003,406,29,71702,4615634,4020807501,QN18
3036,41623363,DUNKIN,1093,2 AVENUE,10022,Manhattan,6469938473,Donuts,40.75969103,-73.96502197,106,4,10800,1038603,1013310025,MN19
3037,41651801,THE LIBERTY,29,WEST   35 STREET,10001,Manhattan,2129674000,Irish,40.74960293,-73.98526743,105,4,8400,1015891,1008370023,MN17
3039,41657014,PICCOLO CAFE,313,AMSTERDAM AVENUE,10023,Manhattan,2128730962,Italian,40.78032152,-73.98036794,107,6,16100,1030096,1011467504,MN12
3041,50112237,THE LAZY COW,42-07,BELL BOULEVARD,11361,Queens,9174441766,American,40.7624365,-73.77039505,411,19,146700,4619986,4062980018,QN46
3044,50062556,THEP,1439,2 AVENUE,10021,Manhattan,2128999995,Thai,40.77065636,-73.95701938,108,4,13400,1044032,1014290028,MN31
3046,50112828,HOT SHOTZ SPORTS BAR,6319,AMBOY ROAD,10309,Staten Island,7182270057,American,40.52354294,-74.21596541,503,51,22600,5087039,5075330150,SI11
3048,50044629,COME PRIMA,903,MADISON AVENUE,10021,Manhattan,2125177700,Italian,40.77221812,-73.96509841,108,4,13000,1041474,1013870052,MN40
3053,40615828,THE BOWERY BALLROOM,6,DELANCEY STREET,10002,Manhattan,2125332111,American,40.72020453,-73.99366152,103,1,1800,1005699,1004250043,MN27
3055,41704440,12 CORAZONES,86-22,ROOSEVELT AVENUE,11372,Queens,7182055575,Latin American,40.7480777,-73.87955802,404,21,26901,4037049,4015010054,QN29
3061,50018481,THE HANDPULLED NOODLE,3600,BROADWAY,10031,Manhattan,9172620213,Asian/Asian Fusion,40.82843277,-73.9489709,109,7,23300,1062014,1020800001,MN04
3067,50093835,SUBWAY,45-07,GREENPOINT AVENUE,11104,Queens,7184821821,Sandwiches,40.7418987,-73.91973449,402,26,18300,4001953,4001640001,QN31
3073,50078229,JOE & THE JUICE,1320,3 AVENUE,10021,Manhattan,9292355333,"Juice, Smoothies, Fruit Salads",40.77205414,-73.95892475,108,4,12800,1043149,1014100033,MN40
3074,50070383,KIMCHAYUL MYUNGPOOM GALBI,41-22,162 STREET,11358,Queens,7188869292,Korean,40.76105216,-73.80390228,407,20,117100,4120431,4053340024,QN51
3075,41694705,FRUITTI YUMMI,57-51,MYRTLE AVENUE,11385,Queens,3477991344,Frozen Desserts,40.70049082,-73.90171603,405,34,55100,4082864,4034660045,QN20
3077,40365627,JAHN'S,81-04,37 AVENUE,11372,Queens,7186510700,American,40.74965337,-73.88507357,403,25,28300,4030010,4012920002,QN28
3078,50081307,TACOS DELICIOSOS EL AMIGO,5919,4 AVENUE,11220,Brooklyn,3474896932,Tex-Mex,40.64125533,-74.01797672,307,38,7400,3016260,3008630004,BK32
3079,41548334,55 THOMAS CAFE,55,THOMAS STREET,11222,Brooklyn,2128867347,American,40.72571907,-73.93383552,301,34,44900,,3,BK90
3080,41519401,AGAVE DELI GROCERY,252,KINGS HIGHWAY,11223,Brooklyn,7182661006,Mexican,40.60529857,-73.98146399,311,43,42600,3176674,3066480024,BK29
3082,40815044,IRON CHEF HOUSE,92,CLARK STREET,11201,Brooklyn,7188588517,Japanese,40.69732132,-73.99253854,302,33,502,3001897,3002370041,BK09
3087,50057982,KI SUSHI,282,FLATBUSH AVENUE,11217,Brooklyn,7182301381,Japanese,40.67849207,-73.97342179,306,39,16100,3018942,3009390031,BK64
3088,41653556,AWASH ETHIOPIAN RESTAURANT,242,COURT STREET,11201,Brooklyn,7182432151,Ethiopian,40.68566986,-73.99431384,306,39,4500,3003540,3003120032,BK33
3090,40547434,THE BURRITO BAR RESTAURANT,585,FOREST AVENUE,10310,Staten Island,7188159200,Mexican,40.63013262,-74.10879342,501,49,10500,5004356,5001560048,SI35
3092,40604004,WRAP N RUN GRILL,1125,LEXINGTON AVENUE,10075,Manhattan,2127441588,American,40.77437085,-73.95930964,108,4,14000,1043239,1014130020,MN40
3095,50014481,MAMAN,239,CENTRE STREET,10013,Manhattan,2122260700,French,40.72018548,-73.99819983,102,1,4500,1007006,1004720022,MN24
3096,50071529,YAKITORI NO NO NO,118,MADISON AVENUE,10016,Manhattan,6467073227,Japanese,40.74533201,-73.98473426,105,4,7400,1016956,1008600015,MN17
3097,50119432,ESSEX PEARL,115,DELANCEY STREET,10002,Manhattan,7147055100,Seafood,40.71850233,-73.98808455,103,1,1800,1090554,1003527501,MN27
3099,50034109,XING LUNG CHINESE RESTAURANT,3828B,DYRE AVENUE,10466,Bronx,7183241014,Chinese,40.88828993,-73.83128023,212,12,48400,2066455,2049500001,BX03
3102,50052504,MARKETPLACE AT MCGINLEY CENTER FORDHAM UNIVERSITY,441,EAST FORDHAM ROAD,10458,Bronx,7188170917,American,40.86072674,-73.88953366,206,15,39700,2102025,2032730001,BX06
3104,50080592,ARIS SPORTS BAR RESTAURANT,4514,3 AVENUE,11220,Brooklyn,3476892538,Latin American,40.65034136,-74.01183116,307,38,200,3011489,3007450047,BK32
3106,50121810,STALLY & JOSIE'S CARIBBEAN KITCHEN,1203,EAST  233 STREET,10466,Bronx,9149241401,Bakery Products/Desserts,40.88874542,-73.84280925,212,12,42600,2066569,2049540008,BX62
3107,50110736,CREDIT LIFE BAR & GRILL,1275,EDWARD L GRANT HIGHWAY,10452,Bronx,6468211456,American,40.83802159,-73.9221876,204,16,21100,2003093,2025060104,BX26
3109,50064929,BEETS AND CARROTS,9905,3 AVENUE,11209,Brooklyn,7183335011,American,40.61412469,-74.03503833,310,47,5602,3156075,3061340007,BK31
3111,50060138,MR DEMUS FISHNET RESTAURANT,190-09,LINDEN BOULEVARD,11412,Queens,7185270262,Caribbean,40.69204386,-73.76093093,412,27,52800,4238219,4110600001,QN08
3113,41250217,TEL AVIV CAFE,1911,CONEY ISLAND AVENUE,11230,Brooklyn,7183008029,Middle Eastern,40.61086861,-73.96253949,314,48,54200,3181685,3067580064,BK43
3118,41264944,HARRY CIPRIANI,781,5 AVENUE,10022,Manhattan,2127535566,Italian,40.76444707,-73.97287113,108,4,11401,1040751,1013740001,MN40
3120,50130677,RED RABBIT,40-05,SKILLMAN AVENUE,11104,Queens,5169029233,Continental,40.74719586,-73.92341651,402,26,17100,4002375,4001830292,QN31
3121,50056748,YUMMY CHINESE,1717,CORNELIA STREET,11385,Queens,7183868883,Chinese,40.70035945,-73.90543812,405,34,55100,4082751,4034610052,QN20
3122,50141998,THAT COFFEE SHOP,3006,AVENUE L,11210,Brooklyn,9176354062,Sandwiches,40.62200023,-73.94577566,318,45,74800,3209617,3076480143,BK43
3125,41647741,THE STANDARD EAST VILLAGE,25,COOPER SQUARE,10003,Manhattan,2124755700,American,40.72774424,-73.99120017,103,2,3800,1087921,1004610003,MN22
3126,50100811,TSAOCAA,38-04,PRINCE STREET,11354,Queens,7183535937,Coffee/Tea,40.76007103,-73.83257368,407,20,87100,4439965,4049720148,QN22
3128,50102669,POKE BOWL,26,EAST   17 STREET,10003,Manhattan,2127758540,Hawaiian,40.73731521,-73.99080918,105,2,5200,1016089,1008440026,MN13
3132,40847025,EL PULGARCITO DE AMERICA,3133,FULTON STREET,11208,Brooklyn,7186477762,Latin American,40.68160754,-73.87951989,305,37,117400,3087417,3039310059,BK83
3133,50134149,MCKINSEY & CO. - 60TH FLOOR,175,GREENWICH STREET,10007,Manhattan,7043285184,American,40.71096789,-74.01235777,101,1,1300,1088797,1000580001,MN25
3134,50118368,SEATTLE CAFE,2,PENN PLAZA,10121,Manhattan,2019365625,American,40.75000977,-73.99134519,105,3,10100,1083026,1007810002,MN17
3135,50117094,THE POINT TAVERN,879,FOREST AVENUE,10310,Staten Island,7185247388,American,40.62881347,-74.11874525,501,49,12500,5005902,5002200001,SI22
3139,41547684,PLANET WINGS,480,FOREST AVENUE,10310,Staten Island,7187209464,Chicken,40.63052185,-74.1064415,501,49,12100,5007360,5002750054,SI35
3140,50117121,TIGER SUGAR,1250,BROADWAY,10001,Manhattan,6464540158,Coffee/Tea,40.74756389,-73.98801797,105,4,7600,1015805,1008330011,MN17
3143,50087892,BUNTON'S WORLD FAMOUS,1005,BROADWAY,11221,Brooklyn,7187584477,Bottled Beverages,40.69595454,-73.93340718,304,34,39300,3072663,3031940004,BK78
3145,50088548,THE CASTELLO PLAN,1213,CORTELYOU ROAD,11218,Brooklyn,9177834812,American,40.64013208,-73.96684686,314,40,152200,3118320,3051430084,BK42
3147,50018409,JUNE,231,COURT STREET,11201,Brooklyn,9179093404,American,40.68615567,-73.99405419,306,39,6900,3006297,3003960006,BK38
3148,50059103,JIN FENG YUAN,5318,8 AVENUE,11220,Brooklyn,7186333383,Chinese,40.63927762,-74.00563175,307,43,10600,3014445,3008180047,BK34
3149,50081544,GEISHA ASIAN CUISINE & LOUNGE,3470,BROADWAY,10031,Manhattan,2128627800,Asian/Asian Fusion,40.82423189,-73.95203814,109,7,22500,1061828,1020730064,MN04
3150,50019128,IKI MODERN JAPANESE CUISINE,133-42,39 AVENUE,11354,Queens,7189393388,Japanese,40.75909891,-73.83413912,407,20,87100,4596186,4049737501,QN22
3152,50138007,PEARL OF CHINA,8411,3 AVENUE,11209,Brooklyn,7188334281,Chinese,40.62484987,-74.03047616,310,47,6200,3152743,3060250006,BK31
3153,50104311,LAUGHING MAN CAFE,184,DUANE STREET,10013,Manhattan,9175976871,American,40.71739635,-74.01024503,101,1,3900,1075718,1001417502,MN24
3155,50007093,PHILIPPE,33,EAST   60 STREET,10022,Manhattan,2126448885,Chinese,40.7640952,-73.9706656,108,4,11401,1078238,1013750026,MN40
3157,40756088,TRES CORONAS,53-23,ROOSEVELT AVENUE,11377,Queens,7186513564,Mexican,40.74456033,-73.91121431,402,26,25100,4030829,4013160067,QN63
3158,50140009,ORA'S MARKET,110,WALL STREET,10005,Manhattan,9296092467,Coffee/Tea,40.70463069,-74.00669405,101,1,700,1000872,1000370008,MN25
